pclass,is_female,Cherbourg,Queenstown,Southampton,age,sibsp,parch,fare,survived
1,1,0,0,1,-0.008265000123650303,-0.47908676070718687,-0.444999501816175,3.4425841256384593,1
1,0,0,0,1,-2.1681933816525185,0.481287771858981,1.8665256881734007,2.286638695933064,1
1,1,0,0,1,-2.084875167065549,0.481287771858981,1.8665256881734007,2.286638695933064,0
1,0,0,0,1,0.06864648754086448,0.481287771858981,1.8665256881734007,2.286638695933064,0
1,1,0,0,1,-0.31591095078170944,0.481287771858981,1.8665256881734007,2.286638695933064,0
1,0,0,0,1,1.4530532655021304,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1
1,1,0,0,1,2.606725580469852,0.481287771858981,-0.444999501816175,0.8637996530018405,1
1,0,0,0,1,0.7608498765214975,-0.47908676070718687,-0.444999501816175,-0.6434642498641783,0
1,1,0,0,1,1.8376107038247045,1.4416623044251486,-0.444999501816175,0.35184657539009684,1
1,0,1,0,0,3.2220174817859704,-0.47908676070718687,-0.444999501816175,0.3136614660667741,0
1,0,1,0,0,1.3761417778376157,0.481287771858981,-0.444999501816175,3.7555570153454396,0
1,1,1,0,0,-0.8542913644333129,0.481287771858981,-0.444999501816175,3.7555570153454396,1
1,1,1,0,0,-0.3928224384462242,-0.47908676070718687,-0.444999501816175,0.6963980671516508,1
1,1,0,0,1,-0.23899946311719464,-0.47908676070718687,-0.444999501816175,0.8810399881834136,1
1,0,0,0,1,3.9142208707666035,-0.47908676070718687,-0.444999501816175,-0.06343727280104884,1
1,0,0,0,1,-0.16208797545267986,-0.47908676070718687,-0.444999501816175,-0.14222427051879058,0
1,0,1,0,0,-0.3928224384462242,-0.47908676070718687,0.7107630931786129,4.14216046294407,0
1,1,1,0,0,1.60687624083116,-0.47908676070718687,0.7107630931786129,4.14216046294407,1
1,1,1,0,0,0.22246946286989405,-0.47908676070718687,-0.444999501816175,0.831577221002727,1
1,0,1,0,0,0.5301154135279532,-0.47908676070718687,-0.444999501816175,0.8112762768055172,0
1,0,0,0,1,0.6070269011924679,0.481287771858981,0.7107630931786129,0.3726308754015257,1
1,1,0,0,1,1.3761417778376157,0.481287771858981,0.7107630931786129,0.3726308754015257,1
1,0,1,0,0,-0.23899946311719464,-0.47908676070718687,-0.444999501816175,-0.06343727280104884,1
1,1,1,0,0,0.9915843395150419,-0.47908676070718687,-0.444999501816175,3.7555570153454396,1
1,1,0,0,1,-0.008265000123650303,-0.47908676070718687,-0.444999501816175,3.644466381851795,1
1,0,1,0,0,-0.31591095078170944,-0.47908676070718687,-0.444999501816175,-0.14077420307613278,0
1,0,1,0,0,-0.31591095078170944,0.481287771858981,-0.444999501816175,1.1174821851134278,1
1,1,1,0,0,-0.7773798767687982,0.481287771858981,-0.444999501816175,1.1174821851134278,1
1,1,0,0,1,0.4532039258634384,-0.47908676070718687,-0.444999501816175,1.9789015164057067,1
1,0,0,0,1,-0.08517648778816508,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1
1,0,0,0,1,1.2223188025085863,-0.47908676070718687,-0.444999501816175,0.042901006327191564,0
1,0,1,0,0,0.8377613641860123,-0.47908676070718687,-0.444999501816175,-0.04410304023227786,1
1,1,0,0,1,0.06864648754086448,-0.47908676070718687,-0.444999501816175,2.544106870781617,1
1,1,0,0,1,2.2221681421472783,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1
1,0,0,0,1,0.9915843395150419,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,0
1,1,1,0,0,1.2223188025085863,-0.47908676070718687,-0.444999501816175,4.429355020367108,1
1,1,0,0,1,-0.5466454137752538,-0.47908676070718687,0.7107630931786129,0.4199185414182257,1
1,0,0,0,1,-0.3928224384462242,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1
1,0,0,0,1,0.914672851850527,-0.47908676070718687,-0.444999501816175,-0.05377015651666335,0
1,0,1,0,0,1.4530532655021304,-0.47908676070718687,-0.444999501816175,0.3328332910819675,0
1,0,1,0,0,-0.3928224384462242,-0.47908676070718687,-0.444999501816175,0.12217135985915262,0
1,1,1,0,0,1.1454073148440713,-0.47908676070718687,-0.444999501816175,-0.10750385567179166,1
1,1,0,0,1,2.2990796298117933,1.4416623044251486,-0.444999501816175,0.35184657539009684,1
1,1,1,0,0,2.3759911174763078,-0.47908676070718687,-0.444999501816175,0.831577221002727,1
1,1,1,0,0,0.914672851850527,-0.47908676070718687,-0.444999501816175,1.9569900306355188,1
1,0,0,0,1,1.2223188025085863,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,0
1,0,0,0,1,-0.469733926110739,-0.47908676070718687,-0.444999501816175,-0.04410304023227786,0
1,0,0,0,1,0.9915843395150419,-0.47908676070718687,-0.444999501816175,-0.13521561121261108,1
1,1,1,0,0,1.8376107038247045,-0.47908676070718687,-0.444999501816175,-0.11282076962820371,1
1,0,1,0,0,0.5301154135279532,-0.47908676070718687,0.7107630931786129,9.262027654708204,1
1,1,1,0,0,2.2221681421472783,-0.47908676070718687,0.7107630931786129,9.262027654708204,1
1,0,0,0,1,0.29938095053440883,-0.47908676070718687,-0.444999501816175,-0.5467930870203234,0
1,0,0,0,1,-0.08517648778816508,-0.47908676070718687,-0.444999501816175,0.267178104124935,0
1,0,0,0,1,-0.9312028520978277,-0.47908676070718687,-0.444999501816175,0.267178104124935,0
1,0,0,0,1,-1.3926717780849163,0.481287771858981,1.8665256881734007,1.6766436583883395,1
1,1,0,0,1,-1.161937315091372,0.481287771858981,1.8665256881734007,1.6766436583883395,1
1,0,0,0,1,0.5301154135279532,0.481287771858981,1.8665256881734007,1.6766436583883395,1
